rank,image_url,current_filename,suggested_filename,pages_count,pages_sample,scope,decorative,best_current_alt,suggested_alt,priority_reasons,recommended_action
133,https://brushonblock.com/cdn/shop/files/Argan_Oil.jpg,Argan_Oil.jpg,brush-on-block-sun-shine-spf-30-protective-lip-oil-duo.jpg,3,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-duo,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
134,https://brushonblock.com/cdn/shop/files/Rice_Bran_Extract.jpg,Rice_Bran_Extract.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,3,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50; https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
135,https://brushonblock.com/cdn/shop/files/SPF_30_lower_1.jpg,SPF_30_lower_1.jpg,brush-on-block-spf-30-translucent-mineral-powder-sunscreen.jpg,3,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2; https://brushonblock.com/products/brush-on-block-refill,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
136,https://brushonblock.com/cdn/shop/files/Apple_Fruit_Extract.jpg,Apple_Fruit_Extract.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,2,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50; https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
137,https://brushonblock.com/cdn/shop/files/BOBKIDS_spray_lower_2.jpg,BOBKIDS_spray_lower_2.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,2,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
138,https://brushonblock.com/cdn/shop/files/BOBKIDS_spray_lower_4.jpg,BOBKIDS_spray_lower_4.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,2,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
139,https://brushonblock.com/cdn/shop/files/Jojoba_Seed_Oil.jpg,Jojoba_Seed_Oil.jpg,brush-on-block-bob-kids-spf-30-brush-on-mineral-sunscreen.jpg,2,https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
140,https://brushonblock.com/cdn/shop/files/KIDS-spf30_balm_prod2.jpg,KIDS-spf30_balm_prod2.jpg,brush-on-block-bob-kids-sun-balm---contents.jpg,2,https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product,no,BOB KIDS Sun Balm - contents,BOB KIDS Sun Balm - contents,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
141,https://brushonblock.com/cdn/shop/files/KIDS-spf30_min_pwdr_prod1.jpg,KIDS-spf30_min_pwdr_prod1.jpg,brush-on-block-bob-kids-spf-30-brush-on-mineral-sunscreen.jpg,2,https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,BOB KIDS SPF 30 Brush On Mineral Sunscreen,BOB KIDS SPF 30 Brush On Mineral Sunscreen,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
142,https://brushonblock.com/cdn/shop/files/Meadowfoam_Seed_Oil.jpg,Meadowfoam_Seed_Oil.jpg,brush-on-block-bob-kids-spf-40-mineral-sun-balm.jpg,2,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
143,https://brushonblock.com/cdn/shop/files/SPF_30_TOT_lower_2.jpg,SPF_30_TOT_lower_2.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,2,https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2; https://brushonblock.com/products/brush-on-block-tinted,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
144,https://brushonblock.com/cdn/shop/files/SPF_30_lower_2.jpg,SPF_30_lower_2.jpg,brush-on-block-applying-spf-30.jpg,2,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/full-face-kit-spf-30,product,no,Applying Brush On Block SPF 30,Applying Brush On Block SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
145,https://brushonblock.com/cdn/shop/files/SPF_30_lower_3.jpg,SPF_30_lower_3.jpg,brush-on-block-spf-30-translucent-mineral-powder-sunscreen.jpg,2,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
146,https://brushonblock.com/cdn/shop/files/SPF_30_lower_4.jpg,SPF_30_lower_4.jpg,brush-on-block-spf-30.jpg,2,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/spf-essentials-kit,product,no,Brush On Block SPF 30,Brush On Block SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
147,https://brushonblock.com/cdn/shop/files/SPF_50_lower_1.jpg,SPF_50_lower_1.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,2,https://brushonblock.com/products/brush-on-block-spf-50-50-duo; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
148,https://brushonblock.com/cdn/shop/files/SPF_50_spill.jpg,SPF_50_spill.jpg,brush-on-block-spf-50-translucent-powder.jpg,2,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,no,Brush On Block SPF 50 Translucent Powder,Brush On Block SPF 50 Translucent Powder,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
149,https://brushonblock.com/cdn/shop/files/See_You_Out_There_Lucia_2.png,See_You_Out_There_Lucia_2.png,brush-on-block-see-you-out-there-hat---model.png,2,https://brushonblock.com/collections/accessories-1; https://brushonblock.com/products/see-you-out-there-hat,product,no,See You Out There Hat - model,See You Out There Hat - model,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
150,https://brushonblock.com/cdn/shop/files/Sheer_Genius_UT_lower_1.jpg,Sheer_Genius_UT_lower_1.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-tinted.jpg,2,https://brushonblock.com/products/brush-on-block-spf-50-50-duo; https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
151,https://brushonblock.com/cdn/shop/files/TOT-before_after.jpg,TOT-before_after.jpg,brush-on-block-before-and-after-applying-spf-30-touch-of-tan.jpg,2,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set; https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Before and After applying Brush On Block SPF 30 Touch of Tan,Before and After applying Brush On Block SPF 30 Touch of Tan,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
152,https://brushonblock.com/cdn/shop/files/TOT_refill_4.jpg,TOT_refill_4.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,2,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set; https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
153,https://brushonblock.com/cdn/shop/files/5050DuoSmear_f25ccc3c-0025-4d96-8a39-123789adf65c.png,5050DuoSmear_f25ccc3c-0025-4d96-8a39-123789adf65c.png,brush-on-block-spf-50-50-duo---swatches.png,1,https://brushonblock.com/products/brush-on-block-spf-50-50-duo,product,no,Brush On Block SPF 50-50 Duo - swatches,Brush On Block SPF 50-50 Duo - swatches,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
154,https://brushonblock.com/cdn/shop/files/Applying_Sun_Balm.jpg,Applying_Sun_Balm.jpg,brush-on-block-bob-kids-brush-and-balm-duo.jpg,1,https://brushonblock.com/products/bob-kids-duo,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
155,https://brushonblock.com/cdn/shop/files/Avocado_Oil.jpg,Avocado_Oil.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen.jpg,1,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
156,https://brushonblock.com/cdn/shop/files/BOBKIDS_spray_lower_1.jpg,BOBKIDS_spray_lower_1.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,1,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
157,https://brushonblock.com/cdn/shop/files/BOBKIDS_spray_lower_3.jpg,BOBKIDS_spray_lower_3.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,1,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
158,https://brushonblock.com/cdn/shop/files/BOB_KIDS_duo.jpg,BOB_KIDS_duo.jpg,brush-on-block-bob-kids-brush-and-balm-duo.jpg,1,https://brushonblock.com/products/bob-kids-duo,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
159,https://brushonblock.com/cdn/shop/files/BOB_Translucent_swatch_913cc0bc-e7f6-4e52-a734-c9b78bee8017.jpg,BOB_Translucent_swatch_913cc0bc-e7f6-4e52-a734-c9b78bee8017.jpg,brush-on-block-swatch-of-mineral-powder-sunscreen-spf-30.jpg,1,https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit,product,no,Swatch of Brush On Block® Mineral Powder Sunscreen SPF 30.,Swatch of Brush On Block® Mineral Powder Sunscreen SPF 30.,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
160,https://brushonblock.com/cdn/shop/files/Bounce-Butter_model2.jpg,Bounce-Butter_model2.jpg,brush-on-block-bounce-butter-spf-30-model-2.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,no,Bounce Butter SPF 30 Model 2,Bounce Butter SPF 30 Model 2,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
161,https://brushonblock.com/cdn/shop/files/Bounce-Butter_prod2.jpg,Bounce-Butter_prod2.jpg,brush-on-block-bounce-butter-spf-30-contents.jpg,1,https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product,no,Bounce Butter SPF 30 Contents,Bounce Butter SPF 30 Contents,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
162,https://brushonblock.com/cdn/shop/files/Broccoli_Extract.jpg,Broccoli_Extract.jpg,brush-on-block-sol-spf-50-spray-on-lotion-sunscreen.jpg,1,https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
163,https://brushonblock.com/cdn/shop/files/Camellia_Seed_Oil.jpg,Camellia_Seed_Oil.jpg,brush-on-block-bob-kids-spf-40-mineral-sun-balm.jpg,1,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
164,https://brushonblock.com/cdn/shop/files/Coral-swatch_25a10f9a-69e2-400e-9c9f-379730d4abba.png,Coral-swatch_25a10f9a-69e2-400e-9c9f-379730d4abba.png,brush-on-block-color-coral.png,1,https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product,no,#color_coral,#color_coral,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
165,https://brushonblock.com/cdn/shop/files/Fig-swatch_c6221e4e-a1bf-4571-880d-9bdac1fdd1aa.png,Fig-swatch_c6221e4e-a1bf-4571-880d-9bdac1fdd1aa.png,brush-on-block-color-fig.png,1,https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product,no,#color_fig,#color_fig,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
166,https://brushonblock.com/cdn/shop/files/Green_Tea_Extract.jpg,Green_Tea_Extract.jpg,brush-on-block-bob-kids-spf-40-mineral-sun-balm.jpg,1,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
167,https://brushonblock.com/cdn/shop/files/Hesperithusa_Crenulta_Bark_Extract.jpg,Hesperithusa_Crenulta_Bark_Extract.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
168,https://brushonblock.com/cdn/shop/files/Konjac_Glucomannan.jpg,Konjac_Glucomannan.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
169,https://brushonblock.com/cdn/shop/files/Lower_productr_page_-_1200_x_985.png,Lower_productr_page_-_1200_x_985.png,brush-on-block-woman-applying-spf-50-to-shoulder-outdoors.png,1,https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,no,Woman applying Brush On Block SPF 50 to shoulder outdoors,Woman applying Brush On Block SPF 50 to shoulder outdoors,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
170,https://brushonblock.com/cdn/shop/files/Nude-tint-swatch_25b08906-3e82-43d0-a7b9-4936fb2b2bc5.png,Nude-tint-swatch_25b08906-3e82-43d0-a7b9-4936fb2b2bc5.png,brush-on-block-color-nude-tint.png,1,https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product,no,#color_nude tint,#color_nude tint,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
171,https://brushonblock.com/cdn/shop/files/Quickstick_lower_2.jpg,Quickstick_lower_2.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
172,https://brushonblock.com/cdn/shop/files/Quickstick_lower_3.jpg,Quickstick_lower_3.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
173,https://brushonblock.com/cdn/shop/files/Quickstick_lower_4.jpg,Quickstick_lower_4.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
174,https://brushonblock.com/cdn/shop/files/Refill_model_1.jpg,Refill_model_1.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-cartridge-spf-30--.jpg,1,https://brushonblock.com/products/brush-on-block-refill,product,no,Translucent Mineral Powder Sunscreen Refill Cartridge SPF 30 - Model,Translucent Mineral Powder Sunscreen Refill Cartridge SPF 30 - Model,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
175,https://brushonblock.com/cdn/shop/files/SG_SPF-50_UT_model2.jpg,SG_SPF-50_UT_model2.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture---universal.jpg,1,https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product,no,Sheer Genius SPF 50 Mineral Sunscreen + Moisture - Universal Tint Model 2,Sheer Genius SPF 50 Mineral Sunscreen + Moisture - Universal Tint Model 2,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
176,https://brushonblock.com/cdn/shop/files/SG_SPF-50_model2.jpg,SG_SPF-50_model2.jpg,brush-on-block-sheer-genius-spf-50---model-2.jpg,1,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,no,Sheer Genius SPF 50 - Model 2,Sheer Genius SPF 50 - Model 2,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
177,https://brushonblock.com/cdn/shop/files/SPF_30_Duo.jpg,SPF_30_Duo.jpg,brush-on-block-spf-30-duo.jpg,1,https://brushonblock.com/products/brush-on-block-duo-translucent-powder-sunscreens-2,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
178,https://brushonblock.com/cdn/shop/files/SPF_30_TOT_lower_1.jpg,SPF_30_TOT_lower_1.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/brush-on-block-tinted,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
179,https://brushonblock.com/cdn/shop/files/SPF_30_TOT_lower_3.jpg,SPF_30_TOT_lower_3.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/brush-on-block-tinted,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
180,https://brushonblock.com/cdn/shop/files/SPF_30_TOT_lower_4_3a64d235-df4e-4e19-a83a-5c45880e2d58.jpg,SPF_30_TOT_lower_4_3a64d235-df4e-4e19-a83a-5c45880e2d58.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/brush-on-block-tinted,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
181,https://brushonblock.com/cdn/shop/files/SPF_50-50_Duo.jpg,SPF_50-50_Duo.jpg,brush-on-block-spf-50-50-duo.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-50-duo,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
182,https://brushonblock.com/cdn/shop/files/SPF_50_lower_2.jpg,SPF_50_lower_2.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
183,https://brushonblock.com/cdn/shop/files/SPF_50_lower_3.jpg,SPF_50_lower_3.jpg,brush-on-block-50---50-duo.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-50-duo,product,no,Brush On Block 50 - 50 Duo,Brush On Block 50 - 50 Duo,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
184,https://brushonblock.com/cdn/shop/files/SPF_50_lower_4.jpg,SPF_50_lower_4.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
185,https://brushonblock.com/cdn/shop/files/SPF_50_set_3.jpg,SPF_50_set_3.jpg,brush-on-block-spf-50-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
186,https://brushonblock.com/cdn/shop/files/SPF_50_set_4.jpg,SPF_50_set_4.jpg,brush-on-block-spf-50-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
187,https://brushonblock.com/cdn/shop/files/See_You_Out_There_Lucia_1.png,See_You_Out_There_Lucia_1.png,brush-on-block-see-you-out-there-hat---back.png,1,https://brushonblock.com/products/see-you-out-there-hat,product,no,See You Out There Hat - Back,See You Out There Hat - Back,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
188,https://brushonblock.com/cdn/shop/files/Sheer_Genius_UT_lower_3.jpg,Sheer_Genius_UT_lower_3.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-tinted.jpg,1,https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
189,https://brushonblock.com/cdn/shop/files/Sheer_Genius_UT_lower_4.jpg,Sheer_Genius_UT_lower_4.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-tinted.jpg,1,https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
190,https://brushonblock.com/cdn/shop/files/Sheer_Genius_lower_1.jpg,Sheer_Genius_lower_1.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,1,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
191,https://brushonblock.com/cdn/shop/files/Sheer_Genius_lower_3.jpg,Sheer_Genius_lower_3.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,1,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
192,https://brushonblock.com/cdn/shop/files/Sheer_Genius_lower_4.jpg,Sheer_Genius_lower_4.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,1,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
193,https://brushonblock.com/cdn/shop/files/Soybean_Oil.jpg,Soybean_Oil.jpg,brush-on-block-quick-stick-spf-40-mineral-sunscreen.jpg,1,https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
194,https://brushonblock.com/cdn/shop/files/TOT_lifestyle.jpg,TOT_lifestyle.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,1,https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
195,https://brushonblock.com/cdn/shop/files/TOT_refill_2.jpg,TOT_refill_2.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,1,https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
196,https://brushonblock.com/cdn/shop/files/TOT_refill_3.jpg,TOT_refill_3.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,1,https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
197,https://brushonblock.com/cdn/shop/files/Vitamin_E.jpg,Vitamin_E.jpg,brush-on-block-sheer-genius-spf-50-mineral-sunscreen-moisture-untinted.jpg,1,https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
198,https://brushonblock.com/cdn/shop/files/Watermelon_Extract.jpg,Watermelon_Extract.jpg,brush-on-block-bob-kids-spf-50-spray-on-lotion-sunscreen.jpg,1,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product,yes,,,"uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
199,https://brushonblock.com/cdn/shop/files/refill_triptych_1_-_TOT.jpg,refill_triptych_1_-_TOT.jpg,brush-on-block-touch-of-tan-spf-30-mineral-powder-refill.jpg,1,https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product,no,Touch of Tan SPF 30 Mineral Powder Refill,Touch of Tan SPF 30 Mineral Powder Refill,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
200,https://brushonblock.com/cdn/shop/products/BOB-Kids_Sun-Balm-3.png,BOB-Kids_Sun-Balm-3.png,brush-on-block-bob-kids-spf-40-mineral-sun-balm.png,1,https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product,no,BOB KIDS SPF 40 Mineral Sun Balm,BOB KIDS SPF 40 Mineral Sun Balm,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
201,https://brushonblock.com/cdn/shop/products/BOB_Translucent_swatch.jpg,BOB_Translucent_swatch.jpg,brush-on-block-bob-kids-spf-30---powder.jpg,1,https://brushonblock.com/products/bob-kids-spf-30,product,no,BOB KIDS SPF 30 - Powder,BOB KIDS SPF 30 - Powder,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
202,https://brushonblock.com/cdn/shop/products/Positive-Reef-Initiative_d8e4f3fb-7d70-4dc0-87bf-4855b9750755.png,Positive-Reef-Initiative_d8e4f3fb-7d70-4dc0-87bf-4855b9750755.png,brush-on-block-bob-kids-brush-and-balm-duo.png,1,https://brushonblock.com/products/bob-kids-duo,product,no,BOB Kids Brush and Balm Duo,BOB Kids Brush and Balm Duo,"uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
